,time_step,conversion_rate,cost_of_production,fiat_reserve,mech_step,operational_budget,overhead_cost,producer_roi_estimate,run,smooth_avg_fiat_reserve,smooth_avg_token_reserve,token_reserve,token_supply,tx_volume,volume_of_production,price
63,63,3.139980632729984,4.854764348505019,158140.93382365975,5.0,25000.0,515.9233066307386,0.20725348650144856,5.5,108561.67424612214,330911.3875784826,380338.8943326601,478881.35215491825,31999.39258971488,175.01564750040112,0.31847330189758943
64,64,3.04887797588781,4.8446907558636285,165916.8947636805,5.0,25000.0,515.9622122841862,0.20739803705426582,5.5,113660.20349431498,335948.2558670742,384926.30759473896,484092.53863336815,33234.75611993566,175.22294240520728,0.3279895121774454
65,65,2.9583096510420908,4.9609666945559345,174093.80657222692,5.0,25000.0,516.0025666057154,0.2055679762946571,5.5,119034.77228950674,340935.57309496595,389502.7224771818,489251.61324703426,34807.77023772171,175.43779219240923,0.3380308750464108
66,66,2.8684642584722915,4.951010789854569,182686.19665795128,5.0,25000.0,516.0519468146817,0.20286170654219804,5.5,124697.95673965682,345874.98950230243,394021.9437758648,494359.09711456415,36434.170970154235,175.59223016329614,0.3486186021130999
67,67,2.7795610620296003,4.930662013538747,191696.07097937708,5.0,25000.0,516.0971262842206,0.20140459853887901,5.5,130662.5734963295,350765.6198865997,398472.45583957963,499415.5061434187,38059.48428476414,175.68945431033507,0.35976903463664606
68,68,2.6918513831167936,4.778874360078751,201086.1650938228,5.0,25000.0,516.1405121760781,0.2024977634712013,5.5,136939.46593494486,355606.1383203021,402841.02150193293,504421.35108198493,39529.42945904921,175.7505068156089,0.3714915341433663
69,69,2.605601500588913,4.670447800824994,211004.25078241664,5.0,25000.0,516.178869553887,0.20623824616449404,5.5,143538.72496097468,360395.85374167404,407213.5213040715,509377.1375711647,41593.39325497903,175.8385460074807,0.3837885416376917
70,70,2.5208574168962423,4.801945772175155,221219.88888566237,5.0,25000.0,516.2310932190442,0.20853199046357115,5.5,150475.54568406421,365136.09189419454,411454.7875507946,514283.3661954531,42745.59021418029,176.01163099144134,0.3966904249710525
71,71,2.4379641991327463,4.86468346547871,231737.54573412085,5.0,25000.0,516.2599946748215,0.20811227603018084,5.5,157746.63162655648,369824.46719788923,415614.44636466005,519140.53253349825,43885.12206507665,176.18984653957395,0.4101782956270353
72,72,2.3571819034002774,5.020928008031523,242795.86195972934,5.0,25000.0,516.2866692324401,0.20506362364474906,5.5,165353.8808950679,374459.7454083746,419798.4699391872,523949.12720816344,45991.625913303185,176.33819311008048,0.42423539674960253
73,73,2.278455773584525,5.011043167521442,254307.19894406796,5.0,25000.0,516.3347206622547,0.20078710468517283,5.5,173315.20482201804,379044.325876371,423917.16270351707,528709.6359360816,47770.48765343502,176.38514380214193,0.4388937505803654
74,74,2.201835838781112,5.137897157230796,266312.009983439,5.0,25000.0,516.3742812382186,0.1954536113286226,5.5,181641.65648259933,383578.75334261515,427987.90383036376,533422.5395767215,49690.92053717281,176.34410303972817,0.4541664652681728
75,75,2.1273783495965453,5.124428865842453,278602.7897009987,5.0,25000.0,516.412658746041,0.18978310638355533,5.5,190341.53198316574,388062.9071156674,431956.91002969525,538088.3141809532,50790.106082911414,176.16958025649816,0.47006213078630266
76,76,2.055244550514635,4.958104080395557,291311.65929518687,5.0,25000.0,516.436711634428,0.18725741347202154,5.5,199409.42676809576,392496.147409527,435896.4876965465,542707.431039144,52388.51688981043,175.87707321811303,0.4865601029082399
77,77,1.9854547870523587,5.02169355955515,304516.15481730417,5.0,25000.0,516.4668928476846,0.18629790885844877,5.5,208851.7358081018,396878.6775556216,439809.88842358347,547280.3567287533,54314.03728377569,175.56160882162763,0.5036629423753425
78,78,1.9179495868772458,4.764121018743922,318222.6891984899,5.0,25000.0,516.5023606757654,0.18889016368841785,5.5,218680.4997111008,401211.59805261187,443687.06299356266,551807.5531614661,56270.54032119182,175.21105068139875,0.5213901381152428
79,79,1.8526491879069018,4.805349747607584,332393.36104512436,5.0,25000.0,516.538209532552,0.19361942745086502,5.5,228906.49356475033,405496.0524538397,447512.7780670263,556289.4776298512,58076.545838427955,174.96967117007782,0.5397675968701806
80,80,1.7895327117628366,4.846105882217904,346882.84389038524,5.0,25000.0,516.5707593034678,0.19678733255636094,5.5,239533.33457080278,409732.40652410476,451247.7995648399,560726.5828535529,59296.958206484116,174.824774726958,0.5588050966751639
81,81,1.7286835091633685,4.866435542412454,361766.37900935306,5.0,25000.0,516.591362328998,0.19892383503230482,5.5,250554.80374978858,413919.7280149407,454947.32201155927,565119.3170250175,60802.8427996732,174.75771902741937,0.5784748883755884
