,fiat_reserve,investors_money,overhead_cost,product_cost,revenue,run,substep,time,timestep,tx_volume
22,-4302.935618541505,8329.72004929,10060.0,0.28444552875231555,171.06602445849634,1,2,2018-01-07 00:00:00,6,12.345057455667462
23,4026.784430748494,8329.72004929,10060.0,0.28444552875231555,171.06602445849634,1,3,2018-01-07 00:00:00,6,12.345057455667462
24,-6033.215569251506,8329.72004929,10060.0,0.28444552875231555,171.06602445849634,1,4,2018-01-07 00:00:00,6,12.345057455667462
25,-6033.215569251506,8079.828447811299,10070.0,0.3358628075365556,171.06602445849634,1,1,2018-01-08 00:00:00,7,13.150626977549187
26,-6000.339001807633,8079.828447811299,10070.0,0.3358628075365556,203.94259190236932,1,2,2018-01-08 00:00:00,7,13.150626977549187
27,2079.4894460036658,8079.828447811299,10070.0,0.3358628075365556,203.94259190236932,1,3,2018-01-08 00:00:00,7,13.150626977549187
28,-7990.510553996334,8079.828447811299,10070.0,0.3358628075365556,203.94259190236932,1,4,2018-01-08 00:00:00,7,13.150626977549187
29,-7990.510553996334,7837.43359437696,10080.0,0.22404838919171455,203.94259190236932,1,1,2018-01-09 00:00:00,8,13.520061918573173
30,-7956.710399199901,7837.43359437696,10080.0,0.22404838919171455,237.74274669880225,1,2,2018-01-09 00:00:00,8,13.520061918573173
31,-119.2768048229409,7837.43359437696,10080.0,0.22404838919171455,237.74274669880225,1,3,2018-01-09 00:00:00,8,13.520061918573173
32,-10199.27680482294,7837.43359437696,10080.0,0.22404838919171455,237.74274669880225,1,4,2018-01-09 00:00:00,8,13.520061918573173
33,-10199.27680482294,7602.310586545651,10090.0,0.23697852017564114,237.74274669880225,1,1,2018-01-10 00:00:00,9,13.94419689438971
34,-10164.416312586967,7602.310586545651,10090.0,0.23697852017564114,272.6032389347765,1,2,2018-01-10 00:00:00,9,13.94419689438971
35,-2562.1057260413163,7602.310586545651,10090.0,0.23697852017564114,272.6032389347765,1,3,2018-01-10 00:00:00,9,13.94419689438971
36,-12652.105726041316,7602.310586545651,10090.0,0.23697852017564114,272.6032389347765,1,4,2018-01-10 00:00:00,9,13.94419689438971
37,-12652.105726041316,7374.241268949281,10100.0,0.255713626515748,272.6032389347765,1,1,2018-01-11 00:00:00,10,14.70802248491424
38,-12615.33566982903,7374.241268949281,10100.0,0.255713626515748,309.37329514706215,1,2,2018-01-11 00:00:00,10,14.70802248491424
39,-5241.094400879749,7374.241268949281,10100.0,0.255713626515748,309.37329514706215,1,3,2018-01-11 00:00:00,10,14.70802248491424
40,-15341.094400879749,7374.241268949281,10100.0,0.255713626515748,309.37329514706215,1,4,2018-01-11 00:00:00,10,14.70802248491424
41,-15341.094400879749,7153.014030880802,10110.0,0.16058533682594878,309.37329514706215,1,1,2018-01-12 00:00:00,11,15.53496411580208
42,-15302.256990590244,7153.014030880802,10110.0,0.16058533682594878,348.21070543656737,1,2,2018-01-12 00:00:00,11,15.53496411580208
43,-8149.2429597094415,7153.014030880802,10110.0,0.16058533682594878,348.21070543656737,1,3,2018-01-12 00:00:00,11,15.53496411580208
44,-18259.24295970944,7153.014030880802,10110.0,0.16058533682594878,348.21070543656737,1,4,2018-01-12 00:00:00,11,15.53496411580208
45,-18259.24295970944,6938.423609954378,10120.0,0.26322990937011653,348.21070543656737,1,1,2018-01-13 00:00:00,12,16.11164789276502
46,-18218.96383997753,6938.423609954378,10120.0,0.26322990937011653,388.4898251684799,1,2,2018-01-13 00:00:00,12,16.11164789276502
47,-11280.54023002315,6938.423609954378,10120.0,0.26322990937011653,388.4898251684799,1,3,2018-01-13 00:00:00,12,16.11164789276502
48,-21400.54023002315,6938.423609954378,10120.0,0.26322990937011653,388.4898251684799,1,4,2018-01-13 00:00:00,12,16.11164789276502
49,-21400.54023002315,6730.2709016557465,10130.0,0.22093488564310315,388.4898251684799,1,1,2018-01-14 00:00:00,13,17.18952123530201
50,-21357.566426934896,6730.2709016557465,10130.0,0.22093488564310315,431.4636282567349,1,2,2018-01-14 00:00:00,13,17.18952123530201
51,-14627.29552527915,6730.2709016557465,10130.0,0.22093488564310315,431.4636282567349,1,3,2018-01-14 00:00:00,13,17.18952123530201
52,-24757.29552527915,6730.2709016557465,10130.0,0.22093488564310315,431.4636282567349,1,4,2018-01-14 00:00:00,13,17.18952123530201
53,-24757.29552527915,6528.362774606074,10140.0,0.22559615570667935,431.4636282567349,1,1,2018-01-15 00:00:00,14,17.745649748958048
54,-24712.931400906757,6528.362774606074,10140.0,0.22559615570667935,475.82775262913003,1,2,2018-01-15 00:00:00,14,17.745649748958048
55,-18184.568626300683,6528.362774606074,10140.0,0.22559615570667935,475.82775262913003,1,3,2018-01-15 00:00:00,14,17.745649748958048
56,-28324.568626300683,6528.362774606074,10140.0,0.22559615570667935,475.82775262913003,1,4,2018-01-15 00:00:00,14,17.745649748958048
57,-28324.568626300683,6332.511891367892,10150.0,0.29831109290762686,475.82775262913003,1,1,2018-01-16 00:00:00,15,19.113467132250484
